StationId,MinTripDuration,MaxTripDuration,AvgTripDuration,NumberStartUsers,NumberReturnUsers
164,60,44606,918,2343,2287
388,66,55240,971,3914,3956
293,60,36124,789,6979,6926
531,60,118257,986,2750,2602
382,60,87513,869,4914,4972
511,63,42891,918,2229,2201
224,60,30742,1087,2183,2062
432,60,30794,853,3139,3073
173,63,42200,1006,3622,3403
146,61,32285,894,2368,2153
251,63,42882,967,3867,3824
479,63,18146,929,3926,3875
504,62,55672,836,4138,4241
474,66,70482,846,3086,3039
477,63,69612,900,5817,5257
470,60,48206,790,3176,3156
494,65,42634,830,3222,3268
345,60,31709,806,3879,3748
406,64,37167,1001,1603,1592
521,60,55269,886,7048,6766
422,60,42027,1181,2902,2952
519,60,52499,936,7290,5920
151,61,6250750,2020,5655,5778
312,64,51593,987,3568,3534
487,62,41866,1053,2576,2637
352,65,76280,1228,3725,3916
483,62,93452,808,3199,3307
285,60,74461,866,7167,7052
225,60,66947,1324,3003,3219
236,60,41130,905,3832,4052
237,60,33410,826,3696,3871
357,61,39333,774,2645,2516
539,63,52424,1476,2202,2362
416,71,25200,852,1085,947
325,60,26675,823,3076,2968
265,61,81374,907,2209,2472
385,65,77097,1147,1708,1591
403,60,34114,887,2609,2796
482,60,60774,889,4320,4378
430,68,54674,1087,1610,1788
161,64,53034,876,3626,3627
510,67,48570,965,2978,3515
507,67,74080,916,3881,4073
247,62,39084,970,1999,2033
445,63,73435,897,3090,3158
239,71,79697,775,793,717
476,60,67656,867,4121,4036
540,62,51672,845,3426,3434
449,63,16511,909,2216,2097
497,60,29462,843,7814,8305
362,62,45739,824,1872,1480
467,65,730955,1861,1771,2040
329,60,40002,938,3562,3696
306,60,37078,1072,3054,3138
394,60,46484,922,2664,2765
308,64,75281,986,1640,1606
335,65,43193,827,2688,2521
380,62,39322,826,4272,4293
334,60,41687,786,3548,3492
523,61,52944,875,3595,3400
450,60,217948,954,4014,3784
309,63,66003,1199,2490,2687
533,64,37555,918,2432,1706
434,60,48157,925,2875,2972
2008,61,10736,1087,1048,1081
428,60,51177,851,2789,2770
396,65,20529,1081,876,955
404,60,56875,1024,4340,4662
368,60,94989,930,5738,6044
248,60,14253,958,906,898
167,60,19479,867,2903,2931
528,61,68596,884,4331,4358
268,62,69345,936,2891,2874
468,60,104368,1113,3469,2903
509,63,76450,892,3827,4009
459,60,33135,891,8049,7848
317,61,39307,869,2859,2992
387,61,207708,1348,5290,5170
373,95,601177,2178,601,647
320,63,24169,829,2543,2454
489,66,54382,1019,2874,2857
462,60,55195,977,3905,4068
375,61,20733,844,3882,3883
157,80,69976,1190,1676,1780
402,62,85600,832,5420,5591
442,61,34512,797,4095,3823
116,60,35062,797,3521,3388
534,60,42469,1283,1684,1843
393,71,48071,877,1567,1613
128,60,46537,899,4638,4770
294,62,31030,804,3577,3473
461,61,69835,891,3378,3507
536,62,27490,910,2906,2950
2004,61,79507,1013,1920,1949
305,60,48932,1091,4064,4226
472,63,65892,766,3605,3566
410,64,145506,961,3062,3028
486,60,54628,844,3224,3021
448,60,43582,963,3366,3430
2003,60,73862,964,2571,2531
217,66,109207,1420,2033,2157
518,61,65662,925,4660,4623
290,60,35944,1146,3896,3862
319,62,35420,929,2773,2662
336,61,51169,835,2799,2860
143,61,11425,990,916,912
499,61,65659,1383,6294,6368
392,79,15942,1057,333,408
412,60,14366,1068,1886,2020
229,61,43225,794,3495,3546
524,60,32906,909,3327,3278
485,60,74659,870,2591,2482
323,62,113089,888,4223,4318
322,60,82593,1330,1260,1260
348,60,44296,925,3763,4030
401,62,61433,959,3830,3895
284,64,67921,814,4321,4446
515,60,22623,980,3686,3887
443,96,22153,1236,294,359
493,63,20882,899,2799,2952
512,60,40675,891,2392,2343
469,60,63454,893,3636,3245
400,61,50555,1021,867,853
147,60,74233,936,4012,4222
423,63,36222,926,1959,1717
168,60,58318,835,4322,4417
405,61,66571,1136,3510,3630
478,60,33291,1142,2850,3069
458,61,28813,971,2677,2650
79,61,37668,1083,5034,5131
439,60,34755,862,3983,4172
324,60,49449,862,3114,3245
426,61,60404,1237,7387,7626
546,60,31339,861,2813,2932
453,60,41278,811,3724,3765
366,66,84487,872,1290,1333
480,60,57329,1118,2081,2064
389,60,88516,1425,852,903
223,60,60145,786,2328,2299
72,62,91003,1126,3575,3508
307,61,40697,904,2544,2567
160,63,17458,815,1701,1623
508,63,31676,1225,2406,2444
233,67,159004,1085,1742,1818
377,60,21609,1001,2510,2596
465,61,38074,849,3798,3479
457,60,350865,1377,5202,4792
444,61,60705,898,6090,6010
427,60,43280,1495,3454,3622
316,65,39865,1075,2173,2090
379,61,24921,846,3147,2639
435,60,23559,777,4897,4880
257,63,62913,892,2401,2448
152,64,50607,1034,2654,2655
411,74,45137,1153,1103,1189
532,63,409415,1565,2378,2737
295,65,30848,979,1057,1091
350,64,20208,885,2248,2261
384,62,90524,1315,1041,1110
417,63,51934,934,4474,4280
466,63,51617,885,4514,4466
301,62,39868,926,3221,3401
446,61,37989,757,4127,4139
195,61,23589,1090,3367,3406
318,60,51522,850,4526,4217
460,61,56354,1619,885,1002
264,62,44441,1070,2346,2495
2002,60,47133,1517,1845,2032
351,60,59744,1319,2369,2512
500,61,38138,1025,2733,2468
440,64,299162,1130,1965,2026
242,60,61623,999,851,806
297,64,75625,798,2449,2466
414,68,120336,1361,1336,1525
369,61,29730,847,2497,2431
498,66,73827,926,3664,3576
254,61,36755,801,2747,2698
505,67,48724,915,3102,2777
365,63,11648,996,572,678
327,60,76061,1180,6829,6832
296,62,42118,1001,1886,1988
447,60,40473,971,3592,3526
326,61,41529,915,3611,3637
349,61,75570,979,1589,1598
253,62,61129,882,2603,2693
280,72,26227,837,2430,2378
496,61,38349,865,3267,3151
492,60,50754,837,4848,4067
438,62,38755,898,2687,2513
490,60,72854,901,6259,4708
127,60,70573,960,4488,4244
398,65,69702,1488,1643,1904
311,64,80756,972,2072,2116
464,60,13795,1084,2218,2208
360,60,81963,1088,2069,2069
355,62,75829,991,2391,2295
281,60,26391,1664,5340,5505
332,74,12803,1082,1320,1356
376,61,27882,1062,2043,1885
454,61,46381,1008,1869,1913
529,64,124456,1025,2984,2924
261,62,19945,959,1116,1138
415,60,33896,1188,2501,2560
527,60,36721,881,2823,2824
475,61,52396,1048,3456,3334
520,61,68355,951,2363,2550
276,60,38431,955,1992,1869
517,60,34725,917,4492,3027
330,61,19097,962,2143,2007
2009,68,12124,1033,510,477
391,66,34680,929,2317,2155
516,61,80768,1143,1651,1672
471,60,104592,1387,946,1119
545,60,50398,940,2904,2892
271,64,87302,940,1617,1769
279,75,34441,1143,520,539
436,107,28920,1319,331,340
488,60,50506,930,4274,4244
120,61,15150,1034,651,709
238,60,57670,995,3106,3101
433,61,58546,864,3226,3223
216,61,14000,1140,855,692
304,60,46374,1370,3669,3959
356,61,53701,972,1596,1610
249,66,47079,1054,1654,1694
263,63,51379,970,2924,2963
347,60,44969,990,5008,5099
153,62,38159,845,3050,3025
241,61,64455,840,937,872
291,60,56362,1061,1280,1294
525,60,100848,1387,1669,1717
310,61,88182,1048,1880,2125
495,60,41203,943,2745,2780
346,60,42556,923,2687,2607
342,75,16838,939,1562,1668
361,60,100715,955,2261,2256
363,62,42113,1253,6162,6402
456,62,52178,1000,2298,2651
82,79,32300,1090,1141,1086
513,62,30546,1041,2193,2198
522,61,32229,1039,2728,2806
386,64,79531,1103,2534,2395
367,60,29040,942,2591,2665
437,63,35363,1243,491,510
395,62,332510,1237,1244,1247
212,64,44335,996,2972,2902
228,60,29225,973,1995,2091
270,63,62123,713,1107,996
340,67,20191,986,1121,1142
503,60,116146,996,1852,1660
420,74,97014,984,810,694
314,65,24069,910,1173,1142
364,60,65022,1054,643,633
315,61,80035,1470,3079,3001
298,64,9382,850,392,472
266,76,21349,1020,894,926
537,61,24445,799,3965,4006
259,63,44609,1357,1937,1880
2021,69,41855,992,2476,2339
2023,60,19649,1029,363,338
354,77,72864,1302,477,593
481,63,83411,1479,876,972
339,62,15451,1140,505,536
303,60,59686,917,2878,3243
262,73,82710,870,763,636
328,60,45402,956,2703,2765
250,66,16040,835,1792,1792
2006,60,51736,1925,5789,5811
501,60,40062,1193,2802,2700
390,62,26749,903,717,693
383,61,58423,924,2500,2582
313,72,10283,992,606,704
408,62,36461,1036,1248,1262
514,61,50962,1338,3311,3655
243,60,29959,885,1686,1468
258,68,18501,743,566,504
484,62,13653,894,2131,2285
441,66,43940,993,806,802
144,60,18857,1235,417,370
341,64,8552,1065,981,973
473,60,88411,991,2814,2905
174,61,42745,911,1939,1898
83,65,85639,1230,1589,1889
2012,66,48833,907,714,720
267,62,15407,896,1899,1803
244,60,17260,832,930,899
2022,78,83468,1360,826,891
282,74,26061,1042,619,711
2000,60,59201,1166,1920,2293
218,72,17684,1003,441,545
353,61,51122,1001,582,602
300,62,30841,781,910,1249
455,61,70141,1104,2229,2277
275,61,4110,834,466,443
150,69,82238,1029,1604,1733
421,70,6833,763,399,361
399,68,62367,1013,585,597
137,61,114650,1238,647,712
358,61,51486,1003,5046,5160
526,61,21729,794,1687,1631
331,61,8406,1018,1153,1153
359,60,59197,845,2681,2952
431,103,212090,2856,225,235
302,61,27323,1023,882,976
397,70,45492,1234,508,515
3002,62,14789,975,1956,2289
274,62,56119,1063,1090,1224
343,62,5911,1042,488,523
278,68,22628,992,552,558
538,61,20224,935,2026,2214
463,66,51932,908,3646,3870
232,62,81954,1187,1148,1194
344,62,25676,940,363,396
289,83,54602,1237,329,298
419,64,57892,896,946,993
337,62,29979,1161,1904,1888
409,64,15011,1010,335,329
245,76,14647,795,396,340
260,61,38806,1326,1338,1274
418,82,22169,897,803,833
252,62,33697,826,2472,2357
407,79,65338,1325,562,357
321,77,3047,1013,175,169
2005,166,6613,902,116,136
2001,61,3401,818,162,201
372,69,9542,1116,295,326
119,72,2528,898,117,127
2017,71,38273,967,1254,1222
2010,71,14592,935,1362,1374
